id;name;code
3;Angola;AGO
18;Burundi;BDI
20;Benin;BEN
22;Burkina Faso;BFA
38;Botswana;BWA
39;Central African Republic;CAF
45;C̫te d''Ivoire;CIV
46;Cameroon;CMR
47;Congo, the Democratic Republic of the;COD
48;Congo;COGTODAY
51;Comoros;COM
52;Cabo Verde;CPV
65;Algeria;DZA
67;Egypt;EGY
68;Eritrea;ERI
69;Western Sahara;ESH
72;Ethiopia;ETH
79;Gabon;GAB
83;Ghana;GHA
85;Guinea;GIN
87;Gambia;GMB
88;Guinea-Bissau;GNB
89;Equatorial Guinea;GNQ
118;Kenya;KEN
127;Liberia;LBR
128;Libya;LBY
138;Morocco;MAR
141;Madagascar;MDG
146;Mali;MLI
152;Mozambique;MOZ
153;Mauritania;MRT
156;Mauritius;MUS
157;Malawi;MWI
159;Mayotte;MYT
160;Namibia;NAM
162;Niger;NER
164;Nigeria;NGA
191;Rwanda;RWA
193;Sudan;SDN
194;Senegal;SEN
200;Sierra Leone;SLE
203;Somalia;SOM
206;South Sudan;SSD
217;Chad;TCD
218;Togo;TGO
226;Tunisia;TUN
230;Tanzania, United Republic of;TZA
231;Uganda;UGA
247;South Africa;ZAF
248;Zambia;ZMB
249;Zimbabwe;ZWE
260;Lesotho;LS
261;Eswatini;SWZ
262;Sao Tome & Principe;STP
263;Seychelles;SYC



